                EMPRESA DE OPINION DE MERCADO S.A.
==============================================================================================================
      REGISTRO DE PREFERENCIAS DE LOS TELEVIDENTES
==============================================================================================================
DNI No.   Sexo        Categoria   Hora(P)    Hora(A)    Duracion(H:M:S)   Duracion(H)   Canales       Compania       
13924257  Masculino   Joven       19:33:59   22:23:13     02:49:14           2.82      553/557/551  TVPUCP
68447700  Femenino    Joven       10:49:43   13:20:26     02:30:43           2.51      772/701/773  CableMas
54509672  Femenino    Adulto      18:44:41   21:03:51     02:19:10           2.32      312          TPVision
58478745  Masculino   Menor       18:27:01   20:11:53     01:44:52           1.75      551          CableMas
99393028  Femenino    Joven       19:42:43   21:00:46     01:18:03           1.30      556          TVPUCP
92957011  Masculino   Joven       12:14:47   14:01:53     01:47:06           1.78      555          TVPUCP
32176776  Masculino   Joven       10:40:27   12:14:53     01:34:26           1.57      312          TPVision
49013232  Masculino   Joven       19:04:18   20:18:28     01:14:10           1.24      555          CableMas
25745881  Masculino   Adulto      14:59:29   16:28:15     01:28:46           1.48      550/313/771  TPVision
19326673  Masculino   Joven       13:44:17   16:30:56     02:46:39           2.78      775          CableMas
94138451  Femenino    Joven       09:40:21   12:23:38     02:43:17           2.72      557/556/313  TVPUCP
34425823  Masculino   Menor       09:05:29   10:18:09     01:12:40           1.21      550/311/313  TPVision
28431509  Femenino    Joven       20:57:01   22:41:17     01:44:16           1.74      556/310/312  TPVision
13756920  Masculino   Adulto      16:16:14   19:04:07     02:47:53           2.80      312/701      TPVision
60226948  Femenino    Joven       12:49:54   14:42:00     01:52:06           1.87      310          CableMas
49498075  Femenino    Joven       17:49:35   19:49:27     01:59:52           2.00      313          TPVision
21011400  Femenino    Joven       15:56:07   17:11:35     01:15:28           1.26      555/312      TVPUCP
33461033  Femenino    Adulto      14:13:55   15:55:14     01:41:19           1.69      556/312/310  TVPUCP
24602079  Femenino    Adulto      13:43:23   15:18:02     01:34:39           1.58      313/555      TVPUCP
82420394  Femenino    Adulto      18:22:23   21:14:45     02:52:22           2.87      550          TPVision
88348503  Femenino    Joven       13:56:43   15:51:48     01:55:05           1.92      551          TPVision
99604206  Masculino   Adulto      13:48:16   16:17:38     02:29:22           2.49      775/555/701  CableMas
99153818  Femenino    Adulto      19:35:20   20:49:14     01:13:54           1.23      705          TPVision
47594847  Femenino    Adulto      19:53:30   21:11:38     01:18:08           1.30      557/550/755  TVPUCP
94926190  Masculino   Adulto      10:47:34   13:16:54     02:29:20           2.49      313          TVPUCP
52762146  Femenino    Adulto      12:16:01   14:18:05     02:02:04           2.03      551/773/553  CableMas
23131160  Masculino   Adulto      13:23:17   15:52:38     02:29:21           2.49      773/557/550  TPVision
76933543  Femenino    Joven       12:52:30   14:45:21     01:52:51           1.88      312          TVPUCP
49650529  Masculino   Menor       13:05:23   14:31:06     01:25:43           1.43      312          TVPUCP
95623545  Masculino   Adulto      13:44:40   14:45:31     01:00:51           1.01      313/701      TVPUCP
89251991  Masculino   Menor       10:12:34   11:55:58     01:43:24           1.72      551          CableMas
57054263  Femenino    Joven       19:04:39   20:17:21     01:12:42           1.21      550          CableMas
16292027  Femenino    Adulto      17:18:36   19:16:42     01:58:06           1.97      313          TVPUCP
86515247  Femenino    Adulto      18:26:28   20:34:16     02:07:48           2.13      705          TPVision
57072923  Femenino    Adulto      19:09:39   21:39:02     02:29:23           2.49      577          CableMas
40446157  Femenino    Adulto      17:57:04   20:18:58     02:21:54           2.37      310          CableMas
13697424  Femenino    Adulto      10:18:11   12:19:40     02:01:29           2.02      772          TVPUCP
47309722  Femenino    Menor       15:20:47   16:35:42     01:14:55           1.25      312/311/556  TVPUCP
61414811  Femenino    Adulto      11:46:54   14:11:30     02:24:36           2.41      773          CableMas
83339297  Femenino    Menor       12:54:51   14:53:09     01:58:18           1.97      705/312/556  TVPUCP
90281317  Femenino    Adulto      13:56:39   16:26:15     02:29:36           2.49      701          CableMas
62278753  Masculino   Adulto      12:04:11   15:03:54     02:59:43           3.00      313/550      TVPUCP
98532874  Femenino    Adulto      10:03:15   12:32:16     02:29:01           2.48      555          CableMas
20567921  Femenino    Joven       15:33:59   17:34:04     02:00:05           2.00      772/577/550  CableMas
21684721  Masculino   Menor       20:05:05   21:11:07     01:06:02           1.10      705/553/311  TPVision
69469536  Masculino   Joven       13:53:14   16:23:18     02:30:04           2.50      772          TVPUCP
53056665  Femenino    Adulto      16:13:38   17:56:09     01:42:31           1.71      313/555      CableMas
32047802  Femenino    Adulto      11:12:18   12:21:24     01:09:06           1.15      311/313/772  CableMas
48266684  Femenino    Adulto      15:19:47   18:13:55     02:54:08           2.90      772          TPVision
28232475  Femenino    Adulto      16:51:15   19:13:13     02:21:58           2.37      311          CableMas
85649116  Masculino   Adulto      16:15:33   18:11:23     01:55:50           1.93      771/313      CableMas
67521551  Femenino    Adulto      14:08:19   16:14:13     02:05:54           2.10      550/551      TVPUCP
64598106  Femenino    Menor       14:46:00   17:34:14     02:48:14           2.80      311          TPVision
29488193  Masculino   Adulto      20:11:46   22:59:32     02:47:46           2.80      556          TVPUCP
54323475  Femenino    Joven       20:14:46   21:50:42     01:35:56           1.60      311/701/772  TPVision
82452357  Masculino   Adulto      18:05:00   20:59:59     02:54:59           2.92      313          TVPUCP
57525666  Femenino    Menor       13:28:31   15:01:39     01:33:08           1.55      551/705      TPVision
77120705  Femenino    Adulto      14:13:09   15:42:19     01:29:10           1.49      705/701      TVPUCP
31674037  Femenino    Joven       17:23:25   18:43:40     01:20:15           1.34      550          CableMas
29709075  Femenino    Joven       15:16:18   16:26:31     01:10:13           1.17      772          TVPUCP
36478252  Femenino    Menor       10:28:53   11:42:22     01:13:29           1.22      773          CableMas
47192913  Masculino   Joven       10:23:04   12:09:04     01:46:00           1.77      775/311      TVPUCP
93899651  Femenino    Adulto      10:47:45   13:13:59     02:26:14           2.44      705          TVPUCP
39411964  Masculino   Adulto      17:45:52   19:36:45     01:50:53           1.85      705          CableMas
11130712  Femenino    Adulto      17:32:42   19:04:15     01:31:33           1.53      771          TPVision
46747248  Masculino   Joven       14:41:10   16:51:01     02:09:51           2.16      775          TVPUCP
43269692  Masculino   Adulto      11:57:21   14:27:21     02:30:00           2.50      772/312      CableMas
12616797  Femenino    Adulto      18:33:13   19:49:24     01:16:11           1.27      773/577/550  CableMas
85993379  Masculino   Menor       13:12:16   15:07:17     01:55:01           1.92      555          TVPUCP
53550261  Femenino    Joven       14:40:36   15:46:35     01:05:59           1.10      773          TVPUCP
89108784  Masculino   Menor       14:51:01   16:53:02     02:02:01           2.03      555/701/772  TPVision
46428281  Femenino    Joven       19:53:03   21:40:24     01:47:21           1.79      313/555/550  TVPUCP
61178151  Femenino    Menor       10:42:34   13:25:19     02:42:45           2.71      577          TVPUCP
52915203  Femenino    Joven       11:37:38   13:26:32     01:48:54           1.81      705/771/551  TPVision
76113507  Femenino    Adulto      19:43:51   21:20:11     01:36:20           1.61      577/557      TVPUCP
83839596  Femenino    Adulto      16:55:27   18:11:58     01:16:31           1.28      550/705/775  TVPUCP
35974237  Femenino    Adulto      14:55:43   16:18:13     01:22:30           1.38      312          TVPUCP
97505620  Masculino   Adulto      11:44:22   13:12:12     01:27:50           1.46      555          TVPUCP
28131542  Femenino    Adulto      14:38:02   16:10:22     01:32:20           1.54      775/557/773  TPVision
30129387  Masculino   Adulto      19:47:29   22:25:05     02:37:36           2.63      551          CableMas
72812557  Femenino    Adulto      11:53:49   13:25:34     01:31:45           1.53      773/772/701  TPVision
77414547  Femenino    Joven       19:10:56   20:13:17     01:02:21           1.04      577          TVPUCP
22938682  Masculino   Adulto      16:16:57   17:32:41     01:15:44           1.26      550/775/555  TVPUCP
45148640  Masculino   Adulto      18:43:33   20:02:56     01:19:23           1.32      555          CableMas
89377613  Masculino   Adulto      09:19:27   11:48:27     02:29:00           2.48      577          CableMas
28341446  Masculino   Adulto      17:07:49   19:09:47     02:01:58           2.03      550/577/556  TPVision
20165579  Masculino   Adulto      17:15:58   19:18:07     02:02:09           2.04      553          CableMas
84021076  Femenino    Adulto      20:30:14   22:02:01     01:31:47           1.53      701/771/705  TPVision
23038066  Femenino    Joven       20:17:57   21:47:12     01:29:15           1.49      312          CableMas
48236239  Femenino    Joven       10:48:12   12:00:13     01:12:01           1.20      551/313      CableMas
71365616  Femenino    Joven       15:03:49   16:32:09     01:28:20           1.47      773/556/775  TPVision
76505044  Femenino    Joven       10:17:36   11:19:51     01:02:15           1.04      771          TPVision
63705160  Femenino    Adulto      13:35:49   15:05:34     01:29:45           1.50      701          TVPUCP
54945979  Femenino    Adulto      10:36:18   12:14:16     01:37:58           1.63      701/703/310  TVPUCP
43425932  Femenino    Adulto      20:49:14   23:32:15     02:43:01           2.72      310          CableMas
18022858  Masculino   Joven       17:38:59   20:06:35     02:27:36           2.46      312          TPVision
43381225  Femenino    Joven       10:02:04   11:03:14     01:01:10           1.02      311          TPVision
94956059  Femenino    Joven       19:19:51   21:30:52     02:11:01           2.18      551/577/773  TPVision
40933864  Femenino    Adulto      15:17:32   17:39:58     02:22:26           2.37      313          TPVision
86475117  Masculino   Adulto      09:28:26   12:16:16     02:47:50           2.80      701/557      TVPUCP
81016676  Masculino   Adulto      16:08:45   17:27:28     01:18:43           1.31      577/557/312  TVPUCP
40445630  Masculino   Joven       13:12:14   15:08:05     01:55:51           1.93      557/775/550  TVPUCP
86632701  Masculino   Adulto      12:10:26   13:34:49     01:24:23           1.41      551/313/771  TPVision
98306506  Femenino    Joven       16:29:35   18:46:11     02:16:36           2.28      775/556/310  TVPUCP
53869870  Masculino   Joven       14:28:58   16:26:22     01:57:24           1.96      313          CableMas
18094954  Femenino    Adulto      15:23:51   16:32:02     01:08:11           1.14      312/555/551  TVPUCP
69532973  Masculino   Adulto      15:52:16   18:52:13     02:59:57           3.00      556          TPVision
27747442  Masculino   Joven       19:22:54   21:11:22     01:48:28           1.81      705/705      CableMas
36769347  Femenino    Adulto      11:09:28   13:27:50     02:18:22           2.31      311/553/773  TVPUCP
67172522  Femenino    Adulto      16:23:17   18:09:08     01:45:51           1.76      313          TVPUCP
53923624  Masculino   Adulto      14:49:26   16:59:54     02:10:28           2.17      556          TPVision
63767985  Masculino   Joven       13:26:32   16:09:06     02:42:34           2.71      772/310/311  CableMas
57522450  Femenino    Joven       19:18:09   21:38:46     02:20:37           2.34      556/771      TPVision
92151043  Femenino    Adulto      13:30:40   15:29:23     01:58:43           1.98      775/553/556  TPVision
47283163  Femenino    Joven       09:48:21   12:16:19     02:27:58           2.47      775          TVPUCP
28412407  Femenino    Adulto      20:57:28   22:32:13     01:34:45           1.58      577/577      TVPUCP
97683560  Femenino    Adulto      17:38:36   20:00:58     02:22:22           2.37      313          TPVision
48336844  Masculino   Adulto      15:55:32   17:30:56     01:35:24           1.59      310/773/311  TPVision
86377121  Masculino   Adulto      19:30:11   20:48:30     01:18:19           1.31      557          CableMas
78150202  Masculino   Joven       09:30:23   11:19:02     01:48:39           1.81      310          TVPUCP
77791381  Femenino    Joven       09:57:32   12:19:42     02:22:10           2.37      771          TPVision
69503985  Masculino   Joven       17:51:07   19:59:04     02:07:57           2.13      313/701      CableMas
85263745  Femenino    Adulto      12:45:06   15:10:00     02:24:54           2.42      550/551/311  TVPUCP
99132303  Femenino    Adulto      14:55:13   17:20:28     02:25:15           2.42      555          CableMas
52407336  Femenino    Joven       14:35:46   17:26:27     02:50:41           2.84      557/556      TVPUCP
95635536  Femenino    Joven       17:10:38   19:49:34     02:38:56           2.65      701          CableMas
75046680  Femenino    Joven       09:22:56   11:43:28     02:20:32           2.34      771/555/551  TVPUCP
87362158  Femenino    Adulto      09:34:52   11:01:13     01:26:21           1.44      556/771/775  TVPUCP
90220356  Masculino   Adulto      11:01:11   12:18:03     01:16:52           1.28      550          TPVision
11432046  Femenino    Adulto      20:05:16   21:38:04     01:32:48           1.55      701          TVPUCP
37831382  Femenino    Adulto      15:00:58   16:23:38     01:22:40           1.38      773          TPVision
54942162  Masculino   Adulto      11:17:09   13:43:08     02:25:59           2.43      773/310      TVPUCP
60191803  Masculino   Joven       17:19:01   19:41:25     02:22:24           2.37      771          CableMas
90276461  Femenino    Joven       14:17:47   15:40:56     01:23:09           1.39      310/556      TPVision
22535662  Masculino   Menor       20:16:35   22:04:14     01:47:39           1.79      311/577      TPVision
16923693  Femenino    Menor       20:36:11   23:14:39     02:38:28           2.64      553          TVPUCP
14870968  Femenino    Adulto      18:16:55   20:23:52     02:06:57           2.12      775/557/551  TPVision
81513986  Femenino    Adulto      09:05:58   11:02:23     01:56:25           1.94      701/312      TVPUCP
88960934  Masculino   Adulto      17:29:02   19:08:56     01:39:54           1.67      577/312      TVPUCP
58255693  Femenino    Joven       17:15:37   19:34:13     02:18:36           2.31      556          TPVision
79719704  Femenino    Joven       15:43:19   16:56:20     01:13:01           1.22      553          TVPUCP
56502165  Femenino    Adulto      11:07:41   14:01:54     02:54:13           2.90      553          TPVision
91738377  Femenino    Adulto      14:20:55   16:43:28     02:22:33           2.38      771          TVPUCP
54236678  Masculino   Adulto      12:28:25   13:32:03     01:03:38           1.06      311          TVPUCP
36725085  Femenino    Joven       15:16:26   17:53:54     02:37:28           2.62      557/556/773  TPVision
96882385  Masculino   Adulto      09:21:15   11:01:29     01:40:14           1.67      310/312      CableMas
25071906  Masculino   Adulto      10:52:52   12:11:02     01:18:10           1.30      773/313/771  CableMas
97231089  Masculino   Adulto      17:39:26   20:27:56     02:48:30           2.81      310/556/775  TVPUCP
97800899  Masculino   Adulto      09:31:35   11:59:23     02:27:48           2.46      556          TVPUCP
24640474  Masculino   Joven       11:48:28   13:45:33     01:57:05           1.95      555          TPVision
33420856  Masculino   Adulto      09:44:32   12:31:30     02:46:58           2.78      557/701/577  TVPUCP
84336844  Masculino   Adulto      13:42:43   16:04:17     02:21:34           2.36      772          TVPUCP
88552197  Masculino   Joven       19:08:15   22:03:13     02:54:58           2.92      773          CableMas
84568581  Masculino   Joven       14:33:00   16:04:09     01:31:09           1.52      557/771/311  TPVision
25343033  Masculino   Adulto      18:20:06   20:15:14     01:55:08           1.92      775          TPVision
68921118  Femenino    Joven       19:17:47   20:43:10     01:25:23           1.42      557          CableMas
40676284  Femenino    Adulto      13:22:23   15:28:29     02:06:06           2.10      551          TVPUCP
25397370  Femenino    Menor       12:37:31   14:52:11     02:14:40           2.24      311/556/312  TVPUCP
72513722  Femenino    Menor       14:28:21   16:49:51     02:21:30           2.36      557/310      CableMas
71873393  Femenino    Adulto      13:12:50   14:37:26     01:24:36           1.41      557/773/553  TVPUCP
24506880  Femenino    Menor       18:05:51   20:18:36     02:12:45           2.21      701          TPVision
43978754  Masculino   Adulto      11:40:52   12:58:16     01:17:24           1.29      551/555/553  CableMas
21319878  Femenino    Joven       19:43:16   20:43:55     01:00:39           1.01      772/771/705  TVPUCP
15577428  Masculino   Adulto      17:48:28   19:10:53     01:22:25           1.37      701/775/705  TVPUCP
68808592  Masculino   Adulto      12:10:08   13:30:41     01:20:33           1.34      556/310      TPVision
16624669  Femenino    Menor       18:22:40   19:45:19     01:22:39           1.38      701          TVPUCP
16030766  Femenino    Joven       14:03:08   15:35:38     01:32:30           1.54      775          TVPUCP
11553882  Masculino   Menor       11:09:24   12:54:34     01:45:10           1.75      555          TVPUCP
30089730  Femenino    Menor       20:03:04   22:16:50     02:13:46           2.23      705          TVPUCP
77042111  Masculino   Joven       16:23:00   17:23:39     01:00:39           1.01      313          TVPUCP
41604202  Femenino    Adulto      10:14:58   11:40:06     01:25:08           1.42      557/313/772  CableMas
84567001  Masculino   Adulto      11:50:35   13:08:40     01:18:05           1.30      577          CableMas
96448577  Femenino    Adulto      09:35:00   10:51:39     01:16:39           1.28      553          TVPUCP
46463640  Femenino    Joven       13:19:59   15:28:28     02:08:29           2.14      312          TPVision
69647505  Masculino   Adulto      19:42:36   21:07:55     01:25:19           1.42      772          CableMas
35739619  Masculino   Menor       14:02:45   16:30:53     02:28:08           2.47      555/773/577  TPVision
75733100  Femenino    Adulto      12:35:18   13:53:41     01:18:23           1.31      553          TVPUCP
56810613  Masculino   Adulto      11:28:36   12:50:55     01:22:19           1.37      771          TPVision
63230782  Masculino   Menor       16:28:03   17:44:41     01:16:38           1.28      313          TVPUCP
63159479  Femenino    Adulto      16:45:26   18:55:59     02:10:33           2.18      773/701      TPVision
90483461  Masculino   Adulto      15:38:26   17:18:48     01:40:22           1.67      310          TPVision
85790907  Masculino   Adulto      18:04:07   19:44:44     01:40:37           1.68      775          CableMas
31938809  Femenino    Joven       11:27:30   14:13:23     02:45:53           2.76      310          TPVision
70979294  Masculino   Adulto      13:48:57   16:05:59     02:17:02           2.28      551/705/311  TVPUCP
87314765  Femenino    Adulto      12:53:58   15:29:29     02:35:31           2.59      557          TPVision
30437283  Masculino   Adulto      12:13:15   13:53:49     01:40:34           1.68      551          TPVision
64350946  Femenino    Joven       12:18:53   13:18:56     01:00:03           1.00      701          TPVision
95027900  Masculino   Joven       09:33:13   11:57:24     02:24:11           2.40      310          TPVision
78204884  Femenino    Adulto      16:01:15   17:37:20     01:36:05           1.60      773/557      CableMas
60988930  Femenino    Joven       16:21:07   17:28:05     01:06:58           1.12      550          TPVision
31036340  Masculino   Adulto      11:31:30   13:34:31     02:03:01           2.05      313          TPVision
95482522  Femenino    Menor       13:40:52   15:38:45     01:57:53           1.96      771/775      TPVision
21280206  Masculino   Adulto      15:18:31   18:12:58     02:54:27           2.91      553/312/577  CableMas
23595413  Masculino   Adulto      16:07:15   17:26:10     01:18:55           1.32      550          CableMas
29010773  Femenino    Adulto      12:37:33   14:05:38     01:28:05           1.47      310/773      TVPUCP
17092980  Masculino   Adulto      19:35:03   21:20:38     01:45:35           1.76      771          TVPUCP
40348747  Masculino   Adulto      20:47:09   22:09:29     01:22:20           1.37      577          TVPUCP
93145342  Femenino    Menor       15:48:02   18:00:40     02:12:38           2.21      557          CableMas
12116392  Femenino    Joven       19:49:56   21:36:09     01:46:13           1.77      705          CableMas
44563013  Masculino   Adulto      09:00:52   10:01:12     01:00:20           1.01      771          CableMas
26694202  Masculino   Joven       10:15:09   12:15:16     02:00:07           2.00      555          TPVision
85269920  Femenino    Menor       10:08:55   11:10:31     01:01:36           1.03      553/312/313  TVPUCP
61914960  Masculino   Adulto      20:22:15   22:42:15     02:20:00           2.33      771          TVPUCP
37405968  Femenino    Joven       20:08:30   21:37:46     01:29:16           1.49      551/701/773  TPVision
68268427  Femenino    Adulto      13:22:26   15:09:46     01:47:20           1.79      556          TVPUCP
59743911  Masculino   Menor       13:00:25   14:03:08     01:02:43           1.05      310          CableMas
66605306  Masculino   Adulto      14:23:24   15:42:41     01:19:17           1.32      705          TVPUCP
59830353  Femenino    Joven       10:47:16   13:02:42     02:15:26           2.26      556/555/773  TPVision
87883844  Femenino    Adulto      17:45:06   20:26:29     02:41:23           2.69      773          TVPUCP
76698305  Femenino    Adulto      10:26:25   13:25:56     02:59:31           2.99      550/772/556  TPVision
62528319  Masculino   Adulto      20:50:13   23:30:10     02:39:57           2.67      312/772      TVPUCP
12933824  Masculino   Adulto      17:00:49   19:45:02     02:44:13           2.74      775/310      TPVision
44286661  Masculino   Adulto      16:11:14   17:12:18     01:01:04           1.02      773          CableMas
56383090  Femenino    Joven       19:12:59   21:54:38     02:41:39           2.69      771          CableMas
88504833  Femenino    Joven       12:45:43   14:59:45     02:14:02           2.23      701          TPVision
81982648  Masculino   Adulto      12:12:50   13:42:09     01:29:19           1.49      705          TPVision
64232005  Femenino    Adulto      13:24:40   15:17:37     01:52:57           1.88      701          TPVision
51594332  Femenino    Adulto      18:43:25   20:37:43     01:54:18           1.91      701          TVPUCP
48926427  Masculino   Menor       14:08:37   15:13:40     01:05:03           1.08      773          TVPUCP
73202698  Femenino    Menor       17:05:52   18:56:15     01:50:23           1.84      312/556/313  CableMas
65803905  Femenino    Adulto      12:54:39   14:15:25     01:20:46           1.35      773/775      TVPUCP
55855871  Femenino    Joven       16:30:20   18:52:05     02:21:45           2.36      772          TVPUCP
95726805  Masculino   Joven       12:00:04   14:32:57     02:32:53           2.55      555/550/577  TPVision
70626208  Femenino    Joven       14:50:21   16:13:38     01:23:17           1.39      553/310/551  TVPUCP
59334474  Masculino   Adulto      18:27:00   20:39:02     02:12:02           2.20      557          TPVision
69679476  Masculino   Joven       15:49:55   17:48:30     01:58:35           1.98      312          TVPUCP
71464272  Masculino   Adulto      14:32:34   15:41:45     01:09:11           1.15      771          CableMas
83826344  Femenino    Adulto      18:26:38   20:13:09     01:46:31           1.78      313          TPVision
60541771  Femenino    Adulto      18:55:12   19:56:20     01:01:08           1.02      551/312      TPVision
71915591  Femenino    Joven       14:42:53   15:58:23     01:15:30           1.26      555/705/557  CableMas
24920859  Femenino    Adulto      15:46:33   17:46:31     01:59:58           2.00      773/550/577  TVPUCP
==============================================================================================================
       ESTADISTICAS OBTENIDAS:
       Cantidad de televidentes registrados                                                      535
       Cantidad de menores que ven entre las 14:00:00 y las 19:00:00                             22
       Cantidad de mujeres adultas que NO ven television entre las 9:30:00 y las 12:45           126
       Cantidad de hombres jovenes que ve mas de 3 horas y media                                 22
       Cantidad de personas que ven los canales 770,312 o 577 pero no 314 ni 555                 94
       Tiempo promedio que ven los menores y adultos                                             01:55:43
       Porcentaje de mujeres que ve TVPUCP                                                       61.00%
       Porcentaje de hombres jovenes que ve TPVision                                             4.00%
       Porcentaje de adultos Registrados                                                         54.00%
       Promedio de canales que ven los televidentes                                              1.81
==============================================================================================================
